# cargo run --release -- scan -1 cppm-p18.xyz -2 cppm-p18.xyz --icotable --rmin 37 --rmax 101 --dr 0.5 -a topology.yaml -r 0.5 --cutoff 1000 -M 0.005
# R/Å F/kT U/kT
37.00 11.52 -0.31
37.50 8.25 -2.62
38.00 5.10 -3.31
38.50 2.12 -5.31
39.00 -0.01 -6.88
39.50 -1.38 -7.39
40.00 -2.47 -7.85
40.50 -3.33 -8.30
41.00 -3.77 -8.29
41.50 -3.93 -8.08
42.00 -3.88 -7.71
42.50 -3.74 -7.22
43.00 -3.55 -6.77
43.50 -3.29 -6.32
44.00 -2.99 -5.86
44.50 -2.68 -5.41
45.00 -2.39 -4.99
45.50 -2.13 -4.62
46.00 -1.89 -4.27
46.50 -1.67 -3.96
47.00 -1.47 -3.67
47.50 -1.28 -3.40
48.00 -1.11 -3.15
48.50 -0.95 -2.93
49.00 -0.81 -2.71
49.50 -0.67 -2.52
50.00 -0.55 -2.33
50.50 -0.43 -2.16
51.00 -0.33 -2.00
51.50 -0.23 -1.85
52.00 -0.14 -1.70
52.50 -0.05 -1.57
53.00 0.03 -1.44
53.50 0.10 -1.32
54.00 0.17 -1.21
54.50 0.23 -1.11
55.00 0.29 -1.01
55.50 0.34 -0.91
56.00 0.39 -0.82
56.50 0.44 -0.74
57.00 0.48 -0.66
57.50 0.52 -0.58
58.00 0.55 -0.51
58.50 0.58 -0.44
59.00 0.61 -0.38
59.50 0.64 -0.32
60.00 0.66 -0.26
60.50 0.69 -0.21
61.00 0.71 -0.16
61.50 0.72 -0.11
62.00 0.74 -0.07
62.50 0.75 -0.03
63.00 0.77 0.01
63.50 0.78 0.05
64.00 0.79 0.09
64.50 0.80 0.12
65.00 0.80 0.15
65.50 0.81 0.18
66.00 0.81 0.21
66.50 0.82 0.23
67.00 0.82 0.26
67.50 0.82 0.28
68.00 0.82 0.30
68.50 0.82 0.32
69.00 0.82 0.34
69.50 0.82 0.35
70.00 0.82 0.37
70.50 0.82 0.38
71.00 0.82 0.40
71.50 0.81 0.41
72.00 0.81 0.42
72.50 0.81 0.43
73.00 0.80 0.44
73.50 0.80 0.45
74.00 0.79 0.45
74.50 0.79 0.46
75.00 0.78 0.47
75.50 0.78 0.47
76.00 0.77 0.48
76.50 0.76 0.48
77.00 0.76 0.49
77.50 0.75 0.49
78.00 0.74 0.49
78.50 0.74 0.49
79.00 0.73 0.50
79.50 0.72 0.50
80.00 0.71 0.50
80.50 0.71 0.50
81.00 0.70 0.50
81.50 0.69 0.50
82.00 0.68 0.50
82.50 0.68 0.50
83.00 0.67 0.50
83.50 0.66 0.50
84.00 0.65 0.49
84.50 0.65 0.49
85.00 0.64 0.49
85.50 0.63 0.49
86.00 0.62 0.49
86.50 0.62 0.48
87.00 0.61 0.48
87.50 0.60 0.48
88.00 0.59 0.47
88.50 0.59 0.47
89.00 0.58 0.47
89.50 0.57 0.46
90.00 0.56 0.46
90.50 0.56 0.46
91.00 0.55 0.45
91.50 0.54 0.45
92.00 0.53 0.45
92.50 0.53 0.44
93.00 0.52 0.44
93.50 0.51 0.43
94.00 0.51 0.43
94.50 0.50 0.43
95.00 0.49 0.42
95.50 0.49 0.42
96.00 0.48 0.41
96.50 0.47 0.41
97.00 0.47 0.40
97.50 0.46 0.40
98.00 0.45 0.40
98.50 0.45 0.39
99.00 0.44 0.39
99.50 0.43 0.38
100.00 0.43 0.38
100.50 0.42 0.37
